item_idx,l0_before_ref,l0_after,l1_before_ref,l1_after,l2_before_ref,l2_after
344,57,52,29,69,170,147
345,3,52,26,38,130,113
346,50,34,99,26,148,79
347,11,4,2,13,62,119
348,10,8,108,18,199,113
349,51,48,60,2,95,164
350,12,45,59,35,18,231
351,16,63,45,1,98,132
352,10,30,106,91,170,185
353,25,55,85,16,13,122
354,43,42,53,118,3,188
355,43,62,36,21,27,200
356,62,38,61,40,121,206
357,43,42,12,122,197,120
358,43,62,89,45,124,89
359,24,11,69,117,3,229
360,43,42,111,29,182,150
361,14,54,105,9,37,0
362,62,49,54,104,229,114
363,60,19,11,79,5,22
364,48,55,121,102,145,229
365,43,62,16,43,100,95
366,48,20,122,116,210,77
367,14,54,50,114,116,252
368,16,18,114,26,79,4
369,13,13,70,70,244,134
370,47,27,77,111,113,241
371,61,57,63,58,97,209
372,20,21,41,51,16,57
373,14,19,119,91,200,204
374,60,61,70,51,57,80
375,48,20,122,52,174,126
376,60,52,94,29,164,179
377,13,51,22,68,149,129
378,52,17,9,113,115,126
379,25,11,84,49,96,157
380,45,51,38,68,200,104
381,10,33,79,62,35,134
382,52,17,101,64,92,144
383,38,39,90,76,183,100
384,15,1,85,51,210,192
385,6,14,122,19,42,221
386,56,44,127,83,120,153
387,56,44,37,50,120,218
388,25,28,92,112,226,222
389,62,42,116,34,255,112
390,48,55,62,7,100,218
391,12,45,28,82,98,114
392,6,8,113,98,11,35
393,61,57,72,37,179,83
394,21,14,24,119,15,49
395,12,45,113,3,99,118
396,42,43,43,37,179,60
397,6,14,110,9,50,174
398,6,14,23,63,13,63
399,6,14,43,63,149,182
400,59,11,86,125,221,26
401,56,44,5,117,247,135
402,36,48,29,103,132,150
403,0,48,30,11,44,22
404,11,38,116,103,39,252
405,41,35,45,72,140,153
406,50,34,87,72,63,248
407,0,48,0,9,118,32
408,5,28,60,83,28,149
409,12,45,69,50,246,203
410,49,34,71,43,88,74
411,22,21,33,56,93,223
412,48,55,67,24,251,24
413,42,43,9,8,113,254
414,56,57,104,31,89,138
415,58,4,59,36,31,196
416,61,57,51,4,201,239
417,49,8,71,121,59,7
418,24,46,72,102,171,138
419,52,17,88,20,169,243
420,13,13,46,80,112,245
421,44,16,40,63,12,158
422,34,5,27,17,118,87
423,59,9,47,43,193,40
424,16,18,7,64,27,162
425,47,27,114,81,238,211
426,20,55,122,94,133,210
427,38,59,69,87,69,203
428,22,21,51,46,131,173
429,44,37,60,98,49,126
430,25,21,95,9,163,124
431,20,55,122,52,80,28
432,62,38,53,80,246,116
433,62,38,71,25,102,28
434,42,43,29,100,92,221
435,52,17,80,49,154,87
436,28,23,62,61,204,191
437,58,5,78,126,232,155
438,21,14,123,35,77,140
439,42,43,40,20,10,205
440,9,38,31,45,170,95
441,4,3,68,29,234,232
442,16,18,61,29,66,77
443,42,43,36,58,5,246
444,12,43,36,41,221,200
445,62,38,80,111,151,2
446,12,2,36,103,22,207
447,9,37,90,117,129,42
448,12,45,61,93,42,206
449,38,18,107,37,149,119
450,16,18,62,65,253,78
451,13,13,71,19,156,146
452,23,10,53,110,93,131
453,56,17,122,102,20,17
454,4,3,125,113,145,153
455,7,59,50,110,234,18
456,13,13,94,4,160,29
457,38,33,23,50,30,111
458,49,26,118,4,129,24
459,20,55,100,1,149,67
460,18,20,48,65,211,191
461,53,30,69,81,191,94
462,13,13,11,109,40,218
463,17,0,16,60,242,42
464,0,48,66,92,168,44
465,24,46,3,35,64,113
466,7,7,108,18,218,162
467,19,47,23,75,97,199
468,33,2,13,103,195,204
469,13,13,71,93,175,29
470,54,13,53,118,175,244
471,37,9,94,28,58,205
472,58,29,109,109,130,160
473,58,29,116,84,76,215
474,1,32,104,16,21,94
475,14,43,115,125,79,44
476,8,7,60,1,33,146
477,16,18,57,29,77,196
478,10,8,91,90,118,135
479,39,41,0,8,141,224
480,44,16,105,71,249,15
481,44,16,105,13,21,152
482,61,57,115,74,168,71
483,33,2,85,80,48,90
484,10,8,79,72,191,59
485,59,40,51,109,72,173
486,26,51,64,32,195,20
487,47,27,98,8,135,205
488,22,21,75,22,221,35
489,7,7,112,88,97,23
490,19,47,0,83,10,89
491,48,20,124,63,128,193
492,10,8,57,120,99,178
493,19,47,41,75,12,177
494,26,51,37,73,152,107
495,43,62,93,54,234,182
496,6,12,78,59,180,12
497,52,32,110,118,161,255
498,16,18,100,82,123,40
499,57,40,36,84,180,122
500,20,51,74,58,223,193
501,15,39,25,21,35,36
502,31,1,10,102,194,96
503,41,1,59,43,70,247
504,39,23,11,124,200,72
505,31,63,91,73,5,75
506,9,37,88,88,165,159
507,31,1,103,60,36,229
508,15,1,9,114,207,165
509,15,1,3,8,76,124
510,34,1,54,87,102,207
511,15,1,91,51,235,137
512,15,1,34,98,43,6
513,31,1,7,118,55,64
514,31,58,116,37,230,203
515,36,63,113,33,217,26
516,15,39,106,82,208,241
517,48,55,53,98,250,252
518,9,37,16,18,128,37
519,9,37,32,24,177,236
520,10,8,44,64,194,10
521,41,52,104,17,160,30
522,29,52,28,17,51,177
523,51,15,94,112,76,127
524,17,0,124,95,105,60
525,38,59,119,24,190,103
526,24,3,28,67,185,147
527,13,13,33,88,12,44
528,44,16,42,65,178,118
529,4,18,7,47,79,184
530,17,0,100,59,68,162
531,21,28,73,78,100,49
532,30,30,107,34,52,53
533,46,49,10,16,222,29
534,17,0,62,110,54,60
535,61,25,106,14,77,247
536,33,2,59,15,90,211
537,5,63,55,34,101,154
538,46,49,21,6,240,95
539,5,28,89,112,186,42
540,6,28,49,32,219,159
541,56,57,113,22,34,142
542,61,45,89,122,108,11
543,52,17,115,108,43,49
544,58,29,70,66,205,194
545,32,54,108,18,198,74
546,2,40,26,94,88,105
547,22,21,54,31,162,95
548,62,38,36,25,210,19
549,14,46,10,18,175,40
550,22,20,37,8,191,112
551,62,38,67,83,253,42
552,22,21,96,42,82,199
553,52,17,70,64,216,131
554,31,56,24,76,238,171
555,42,43,35,25,14,159
556,16,18,61,38,127,69
557,35,42,69,82,182,224
558,36,35,8,76,123,234
559,59,63,19,36,53,156
560,9,37,5,84,127,177
561,48,52,53,9,84,165
562,6,14,92,99,191,181
563,9,37,61,60,7,29
564,10,8,12,45,98,51
565,58,29,20,28,129,150
566,38,59,35,97,66,205
567,48,20,2,82,64,141
568,46,49,24,112,42,255
569,55,10,75,52,187,135
570,27,31,87,127,28,155
571,54,50,24,19,231,245
572,49,26,113,71,214,234
573,46,59,17,68,63,66
574,28,23,59,8,0,97
575,58,29,59,15,12,25
576,32,54,29,40,55,8
577,43,42,46,71,118,21
578,52,36,25,53,146,215
579,38,59,102,5,214,245
580,14,46,122,0,236,223
581,23,22,71,17,19,67
582,42,43,55,118,148,34
583,62,38,34,101,136,200
584,12,45,39,88,222,113
585,19,42,103,83,191,109
586,43,42,105,77,29,2
587,43,42,25,77,196,145
588,43,42,0,65,181,99
589,14,58,82,44,203,44
590,35,62,56,13,21,156
591,46,49,104,44,89,126
592,62,38,49,0,162,187
593,19,47,124,55,190,109
594,43,62,12,101,231,19
595,61,29,27,36,151,245
596,62,43,88,88,114,186
597,42,43,121,52,138,210
598,54,20,42,126,121,124
599,48,63,69,88,142,141
600,54,20,127,99,9,2
601,41,56,67,39,60,36
602,18,35,118,76,200,188
603,56,44,54,126,223,134
604,56,44,76,76,244,61
605,9,9,107,43,194,145
606,56,44,22,29,102,179
607,56,37,122,24,58,177
608,4,15,79,2,112,153
609,56,44,20,123,104,251
610,52,17,46,111,43,104
611,49,26,67,109,23,113
612,36,63,121,105,154,91
613,38,59,13,59,188,220
614,5,63,76,65,43,50
615,43,47,109,53,221,242
616,52,17,116,44,186,81
617,0,29,12,97,25,35
618,17,51,127,30,227,46
619,38,59,125,50,209,41
620,24,9,13,46,185,24
621,4,28,37,115,227,14
622,0,11,90,12,0,40
623,35,35,33,13,240,99
624,5,10,126,34,201,180
625,53,30,9,78,196,195
626,0,11,103,46,74,60
627,11,44,116,17,232,201
628,32,54,46,111,43,126
629,16,18,88,88,91,229
630,43,38,13,53,136,3
631,51,48,60,122,221,172
632,22,21,42,79,22,155
633,52,17,60,52,118,65
634,63,60,4,70,158,105
635,52,17,36,126,127,185
636,55,10,34,109,239,1
637,30,40,2,23,151,164
638,47,27,78,1,147,129
639,55,57,118,35,50,128
640,49,17,59,70,22,123
641,13,13,43,86,42,11
642,29,41,11,30,6,196
643,19,43,19,82,182,187
644,24,14,100,86,208,13
645,61,57,4,55,107,173
646,50,36,105,20,172,182
647,61,57,88,8,135,248
648,19,47,105,23,21,22
649,61,57,81,87,210,70
650,62,38,111,65,123,99
651,42,43,42,5,198,81
652,22,21,80,92,5,255
653,42,42,118,96,167,145
654,42,43,28,17,105,98
655,46,3,107,37,63,202
656,58,29,100,63,206,97
657,5,28,89,107,73,34
658,5,63,7,98,222,203
659,62,38,85,93,86,79
660,42,43,112,123,29,234
661,39,24,49,30,179,188
662,45,24,51,38,43,15
663,30,40,123,52,182,216
664,33,2,51,83,137,245
665,39,24,103,115,76,106
666,30,41,89,74,163,203
667,45,41,82,93,27,251
668,39,24,30,22,135,99
669,8,33,112,88,136,11
670,33,2,61,113,210,217
671,50,34,80,16,54,173
672,55,10,84,11,175,130
673,21,35,51,119,117,160
674,38,29,15,50,103,185
675,20,32,52,89,68,173
676,21,14,43,119,254,108
677,21,19,114,54,135,4
678,58,29,124,28,228,215
679,13,38,95,110,163,181
680,44,16,58,104,251,54
681,16,28,37,62,23,10
682,19,47,76,26,116,136
683,58,13,11,66,234,232
684,4,3,6,47,158,125
685,59,6,72,37,117,174
686,24,45,24,30,239,15
687,14,19,15,23,229,201
688,46,49,2,5,84,172
689,46,49,85,91,21,79
690,46,49,82,11,7,66
691,32,19,51,45,198,232
692,4,3,19,101,234,148
693,56,44,27,36,212,45
694,51,48,101,60,133,28
695,2,36,79,30,21,145
696,31,58,121,89,121,55
697,11,4,57,80,101,17
698,31,1,1,28,162,33
699,36,48,118,63,137,173
700,31,34,1,34,157,4
701,6,14,43,63,115,125
702,31,48,29,27,178,174
703,54,50,33,115,159,136
704,63,58,12,68,180,58
705,54,20,101,94,88,54
706,51,15,14,38,50,15
707,44,16,0,32,167,39
708,63,58,102,108,24,77
709,63,51,104,64,3,134
710,59,6,45,124,137,4
711,13,13,111,100,193,179
712,37,9,60,32,27,194
713,37,37,12,109,151,177
714,52,17,112,16,137,245
715,56,44,18,49,61,65
716,46,49,45,64,152,79
717,54,50,120,33,208,54
718,56,44,69,28,128,173
719,13,13,67,40,110,251
720,56,44,37,50,122,83
721,17,0,78,118,148,85
722,5,46,76,97,18,87
723,27,63,69,13,6,104
724,7,35,50,28,69,162
725,38,59,59,92,5,83
726,4,3,6,47,36,70
727,36,48,30,33,249,58
728,14,19,39,29,67,79
729,43,42,101,85,54,248
730,28,23,39,26,186,164
731,59,6,33,35,15,21
732,51,28,106,33,221,27
733,13,13,51,43,105,249
734,34,3,23,37,125,98
735,4,35,43,86,15,96
736,14,46,96,42,99,61
737,59,3,46,71,59,231
738,4,3,92,126,70,237
739,5,59,71,88,30,194
740,37,19,64,17,22,32
741,37,9,124,91,202,135
742,38,59,0,55,156,137
743,59,6,11,92,244,100
744,23,59,45,13,52,31
745,5,5,34,14,47,176
746,59,6,91,13,70,77
747,59,6,52,13,160,180
748,4,3,86,90,52,12
749,59,57,124,119,226,66
750,59,6,109,109,29,154
751,4,3,68,113,134,106
752,4,3,92,126,194,30
753,4,3,9,80,113,195
754,38,3,54,28,58,195
755,4,3,77,109,99,31
756,5,28,13,6,51,75
757,13,59,51,8,68,18
758,59,6,2,126,248,225
759,59,6,124,47,189,152
760,2,44,13,98,148,201
761,59,6,100,111,50,40
762,4,3,126,13,212,142
763,4,3,109,80,10,74
764,16,18,44,87,145,168
765,4,3,68,40,121,231
766,13,3,125,84,123,151
767,24,45,58,118,229,23
768,4,3,70,28,34,57
769,37,9,124,51,143,29
770,4,3,23,0,174,216
771,15,11,17,76,108,200
772,0,3,109,110,245,79
773,59,6,40,0,33,65
774,5,28,75,80,114,7
775,59,6,5,8,138,135
776,24,23,19,27,173,8
777,28,23,75,9,123,144
778,59,6,92,126,219,202
779,52,17,44,42,126,57
780,19,47,45,34,163,68
781,4,3,27,77,223,30
782,28,23,80,52,114,195
783,4,18,9,28,193,121
784,52,17,71,29,36,9
785,59,6,114,47,235,102
786,14,46,0,38,168,151
787,59,6,123,0,33,141
788,59,62,124,37,120,138
789,4,18,19,17,198,141
790,61,57,8,61,21,171
791,28,6,107,0,24,170
792,59,26,85,118,9,151
793,10,8,34,16,100,198
794,28,23,24,14,78,245
795,15,10,10,118,196,135
796,59,58,85,36,215,238
797,4,6,108,39,63,108
798,38,59,98,75,154,202
799,46,34,14,98,141,218
800,21,5,34,119,43,192
801,56,44,60,122,23,132
802,2,1,48,121,58,130
803,7,44,92,106,208,22
804,23,8,120,26,180,29
805,36,35,114,94,193,48
806,31,42,67,75,6,32
807,24,46,115,24,64,123
808,31,48,64,64,33,117
809,31,58,117,0,0,3
810,41,58,107,0,74,252
811,9,62,91,84,255,138
812,31,58,89,27,34,66
813,31,58,126,83,115,209
814,15,1,104,35,180,159
815,15,1,104,68,84,224
816,54,29,113,75,118,199
817,15,5,26,75,88,142
818,15,1,46,67,211,181
819,36,1,30,65,236,242
820,58,1,59,50,149,46
821,15,1,42,90,131,229
822,15,44,17,112,120,98
823,15,1,30,93,148,154
824,1,5,54,35,69,17
825,41,21,104,30,167,252
826,15,10,55,28,14,199
827,15,56,55,76,245,37
828,60,50,63,78,5,252
829,15,1,62,116,204,60
830,24,11,29,25,236,210
831,4,3,45,30,17,200
832,32,54,49,118,229,216
833,15,1,89,107,253,84
834,32,58,58,93,167,189
835,63,58,38,108,112,190
836,15,33,62,50,253,211
837,63,50,87,108,180,208
838,11,6,11,101,237,28
839,46,6,100,67,48,79
840,59,6,54,73,107,186
841,4,3,68,56,214,148
842,0,3,20,2,123,149
843,50,59,123,31,116,231
844,44,16,113,108,9,196
845,13,36,122,30,97,195
846,20,51,40,112,253,182
847,10,8,10,24,167,148
848,53,30,97,53,148,252
849,49,26,0,33,229,80
850,27,31,83,101,58,152
851,31,1,94,42,91,119
852,56,1,89,57,206,222
853,43,19,103,117,156,55
854,31,58,93,103,92,8
855,63,58,3,85,72,98
856,10,30,112,36,246,71
857,8,33,51,18,141,198
858,6,14,53,19,43,145
859,53,30,22,60,35,170
860,3,20,18,79,100,118
861,25,55,92,124,121,47
862,45,41,26,94,154,30
863,10,8,79,4,142,79
864,33,2,49,56,145,189
865,53,39,68,16,200,157
866,7,7,122,99,9,90
867,0,13,66,24,246,102
868,52,17,93,107,40,102
869,19,47,43,93,184,176
870,40,5,97,58,170,164
871,44,16,52,81,215,205
872,34,5,5,51,46,98
873,0,17,16,69,218,216
874,58,29,116,90,99,15
875,5,5,85,122,143,18
876,38,59,17,102,187,243
877,16,18,103,46,241,153
878,38,59,84,63,247,88
879,13,13,17,84,198,16
880,19,47,60,16,111,92
881,62,38,108,25,122,227
882,9,37,42,80,135,219
883,43,42,31,65,134,55
884,52,57,82,127,98,222
885,52,17,82,93,86,94
886,36,35,76,32,130,53
887,5,63,121,105,24,245
888,60,5,7,52,66,246
889,53,39,107,31,247,183
890,45,41,96,45,216,124
891,51,15,32,52,194,193
892,28,23,4,63,220,235
893,24,46,81,117,237,177
894,59,6,116,79,77,117
895,0,48,127,125,246,204
896,22,21,11,22,67,53
897,7,7,14,6,27,101
898,23,22,69,39,14,50
899,59,6,116,79,53,183
900,0,5,123,57,131,244
901,12,22,101,36,28,214
902,43,42,99,39,57,202
903,38,59,63,109,120,59
904,34,5,4,3,47,197
905,59,6,74,92,254,126
906,10,8,81,98,61,123
907,47,40,55,120,196,98
908,28,6,0,49,99,128
909,52,17,33,54,243,121
910,34,5,17,50,110,134
911,42,43,33,116,247,72
912,26,51,80,0,95,224
913,4,3,0,54,215,27
914,46,49,73,88,128,148
915,52,17,34,34,236,34
916,35,62,56,18,100,125
917,52,17,51,52,127,169
918,59,6,90,101,27,205
919,0,48,54,110,72,234
920,62,38,75,89,126,76
921,23,22,99,39,189,63
922,4,3,19,101,240,204
923,23,10,78,65,102,109
924,42,43,9,116,174,25
925,33,2,40,29,89,116
926,35,45,44,70,196,24
927,45,63,14,96,117,59
928,6,6,114,8,82,122
929,37,9,5,71,54,70
930,43,47,58,4,13,159
931,55,10,68,50,175,90
932,58,29,122,16,112,59
933,13,29,83,51,165,248
934,58,29,29,38,154,133
935,49,26,99,39,82,90
936,17,40,100,25,3,167
937,49,26,63,115,208,90
938,12,45,68,16,62,171
939,41,56,124,97,169,6
940,19,22,63,0,212,19
941,26,35,91,12,99,149
942,6,14,43,86,169,142
943,10,30,20,37,158,105
944,37,9,53,111,193,167
945,16,18,52,97,248,231
946,63,35,124,21,46,140
947,53,18,103,31,175,200
948,13,13,28,17,140,250
949,19,18,7,27,235,131
950,12,5,17,126,229,25
951,58,29,88,68,135,186
952,54,50,94,121,21,148
953,48,55,18,102,133,119
954,32,10,63,1,128,253
955,7,7,115,78,89,99
956,55,10,73,57,54,104
957,16,17,2,80,60,48
958,37,9,60,109,4,181
959,38,32,35,47,223,220
960,5,39,0,23,96,227
961,20,51,61,8,1,34
962,42,43,27,71,59,160
963,12,45,35,124,175,176
964,22,20,88,19,241,185
965,25,55,59,10,95,198
966,27,31,73,12,238,167
967,48,20,125,36,111,153
968,42,43,27,52,191,22
969,12,45,74,116,207,101
970,48,20,122,116,156,155
971,24,62,16,124,103,7
972,3,52,90,103,87,95
973,57,52,61,1,228,187
974,57,60,17,1,179,140
975,57,8,125,50,105,7
976,62,60,35,1,45,254
977,50,34,30,42,148,134
978,11,4,41,51,185,220
979,37,9,44,44,89,189
980,16,18,26,64,27,198
981,58,29,20,32,210,140
982,63,58,76,119,229,125
983,31,58,32,2,84,33
984,44,16,39,24,250,132
985,44,29,39,91,204,249
986,1,32,86,18,49,211
987,56,44,105,125,131,247
988,17,0,124,27,185,139
989,46,49,63,46,119,37
990,59,6,124,109,93,60
991,9,37,68,29,13,232
992,6,14,47,19,1,63
